Gh'éra öna ölta	C'era una volta
e pò l'è 'gnida d'fò perchè 'l gh'è 'gnìt adòs pura	poi è uscita perché le è venuta paura
e l'è 'ndacia gliò 'n d'ö boscàl e l'è stacia gliò	ed è andata in un cespuglio, è rimasta là
« sto ché töta nòc	« starò tutta notte
en de 'sto boscàl »	in questo cespuglio »
menemà	
l'è ö momént ca l'è lé	dopo un po'
la èch ca 'l vé di èśge	vede arrivare delle vecchie
öna fila!	una fila!
lé la sa mèt dré a cüntài:	si mette a contarle:
« öna	« una
dù	due
trì	tre
quater	quattro
zìch... »	cinque... »
pòta è intequàter	sono ventiquattro
tüc en fila	tutte in fila
pò i và d'dét tüc en de 'sta cà	entrano in questa casa
« madóra mé	« madonna mia
còsa sarài?	chi saranno?
còsa farài? »	cosa faranno? »
e pò lé l'è stacia gliò töta nòc en de 'sto boscàl	è rimasta tutta notte in quel cespuglio
la matina	al mattino
la èch ca i vé d'fò	le vede uscire
la gi cünta, è amó intequàter	le conta, sono ancora ventiquattro
po' i pasa gió	e vanno
e lé gliùra l'è 'ndacia hò, l'ìa famada	allora lei è entrata in casa, era affamata
e stöfa	stanca
e sónch	aveva sonno
l'è 'ndacia hò
gh'éra hò ö gràn' tàol	c'era un gran tavolo
gh'éra sö
intequàter tónc	con ventiquattro piatti
intequàter fundine	ventiquattro piatti fondi
intequàter scodèle	ventiquattro scodelle
intequàter cüsgià	ventiquattro cucchiai
intequàter pirù	ventiquattro forchette
gh'éra intequàter escagne	ventiquattro sedie
tot en deśùrden	tutto in disordine
e lé la s'è metida, la töt gió töt	lei si è messa a sparecchiare
l'à la-àt gió	ha lavato
l'à fregàt gìó bé	ha fregato per bene
l' gh'è 'gnìt òia d'laurà	le è venuta voglia di lavorare
l'à metìt apòst a' tüc i scagne	ha messo a posto tutte le sedie
e pò dopo l'éra hamada	era affamata
l'à maiàt ergót	ha mangiato qualcosa
pò la 'à d'zura	poi è andata di sopra
l' gh'è so intequàter lèc, tüc desfàc gió	c'erano ventiquattro letti disfatti	
le la gi à fàc sö tüc bé	li ha riassettati per bene
pò l'à scu-àt fò	ha scopato
l'à fàc gió i pólvér	e ha fatto le polveri
e pò l'à dìc:	poi s'è detta:
« adès l'è quaśe séra »	« adesso è quasi sera »
tacàt sö öna 'mpignèta de minestra	ha messo sul fuoco una pignatta di minestra
pò la l'à bacia	l'ha preparata
pò la n'à maiàt a' lé	ne ha mangiato anche lei
pò l'è 'gnida d'fò, l'è 'ndacia fò amó 'n dol sò boschi	poi è uscita, è andata ancora nel suo cespuglio
e la gh'à lasàt lüs	e ha lasciato acceso
la lücèrna	la lucerna
là i ria sö: — cóme mài	loro arrivano: — come mai
al lüs ol ciàr? —	è accesa la lucerna?
i và d'dét:	entrano
— ma cóme mài	— come mai
'zzé pulìt?	cosi pulito?
cóme mài?	
ché l' gh'è stàc vergü —	c'è stato qualcuno! —
i fà pasà 'm per töt	cercano dappertutto
pòta i à ést negü	non hanno visto nessuno
lù i à scenàt bén pulito	hanno cenato
pò i à hàc ol consiglio	poi hanno fatto consiglio
e i a dìc:	han detto:
— té ca to sé la piö èśgia	— tu che sei la più vecchia
endomà d'matina to sté che scundida	domani mattina starai qui nascosta
e to 'ddiré chi ca l' vé	e vedrai chi viene
— sé sé, 'm fà 'zzè	— sì, facciamo così
chèl'óltra l'è hò 'n dol boscàl	quell'altra nel cespuglio
la èt ca l' và d'fò la gét	vede uscire le streghe
la śgi cünta	le conta
è intetrì	sono ventitré
la turna a cüntài, è intetrì:	le riconta, sono ventitré
« madóna öna l'è restada hò lé!	« madonna una è rimasta là!
o hòrse avrò śbagliàt àch a cüntài »	o forse avrò sbagliato a contarle »
gliùra	allora
la 'à fò	va là
pò la 'à d'dét	entra
al gh'è d'dét negü	non c'è nessuno
la arda	guarda
la hà pasà, l' gh'éra negü	cerca non c'è nessuno
la sa mèt dré, l'à hàc amó tüc i sò mestér	si mette ancora a fare tutti i mestieri
pò l'à tacàt sö amó la so minestra, la l'à hacia	poi ha messo ancora sul fuoco la minestra, l'ha preparata
pò la n'à	ne ha
töt fò öna bela hundina, l'à mangiat a' lé	preso un bel piatto, ha mangiato anche lei
pò la 'à d'fò	ed è uscita
'ndo ca la rìa gliò ala porta	quando arriva alla porta
chèl'ótra l'éra hò sóta la scala	sotto la scala
chela èśgia, scundida	la vecchia nascosta
per eddì chi ca ìa	per scoprire chi fosse
la l'à ciapada	l'ha presa
e lé la gh'à dìc: — madóra ardé, mè ó hàc negót de màl!	e la ragazza ha detto: — madonna, io non ho fatto niente di male!
— nò nò, l' só che to é hàc negót de màl	— lo so che non hai fatto niente di male
stà ché ca 'm ta tìgn che nóter	stai qui che noi ti teniamo
cósa fét en giro?	cosa fai in giro?
— 'ndó 'n scircà de laurà —	— vado in cerca di lavoro —
lé la gh' l'à mìa dìc ol perché	non le ha detto il perché
— beh
to é a scircà da laurà	— se vai in cerca di lavoro
che to ghe l'é perché	qui lo trovi perché
am ta tignerà bé, to 'dderé —	ti terremo bene, vedrai —
pò l' rìa chi óter	poi arrivano le altre
madóna tüc contèc!	madonna sono tutte contente!
— arda	— guarda
tüc i dé 'm ta pòrta ö regài	tutti i giorni ti portiamo un regalo —
tüc i dé —
intequàter regài al dé èra tance	ventiquattro regali al giorno erano tanti
pòta lé la gh'à dìc de sé	ha detto di sì
la sta gliò	è rimasta là
menemà	ma
apéne finìt da scéna i sa mèt dré:	appena finito di cenare, cominciano:
— mè ó streàt la tal...	— io ho stregato la tale...
— mè ó streàt chèl óter... —	— io ho stregato l'altro... —
tüc i cüntà-a sö	tutte raccontavano
a gara	a gara
chi ca ìa hàc piö tànt màl	chi avesse fatto più male
lungo l' dé	nella giornata
e lé la scultà-a tòt, la scultà-a töt	e lei ascoltava tutto
menemà
l' và là 'm pó de dé	trascorsi un po' di giorni
i gh'ìa portàt	le han portato
di estìc	dei vestiti
di colane	delle collane
di anèi	degli anelli
di oreśgì	degli orecchini
de töt i gh'ìa portàt	di tutto
l'ìa hàc sö öna alìs	aveva fatto una valigia
tota de ròba perfèta	tutta di roba perfetta
menemà 'l rìa a cà chèla piö ègia	a un certo punto arriva a casa la più vecchia
chèla
ca la gh'ìa spödàt gió lé söl có	a lei la ragazza aveva sputato in testa
la rìa e la ga dìs:	dice:
— óh ghe l'ó facia	— l'ho combinata bella!
ghe l'ó facia!
— a chi?	— a chi?
— a ghe l'ó facia al prìncipe!	— al principe!
ma adès èh	adesso
chèl lé 'l guarés piö èh! —	quello non guarisce più —
lé la scultà-a	lei ascoltava
— per guarì chèl lé	— guarirlo
arda èh	guardate
sa l'è pusìbel ca 'l guarise	è proprio impossibile
mè ch'i 'ndaghe gió 'n fónt al nòs' giardì	bisogna andare in fondo al nostro giardino 
mè ch'i tire sö	strappare
chèla piantelina ca l'è già lé	quella pianticella
pò to śgió i raìs, la-ài bé e fai bòi	togliere le radici, lavarle e farle bollire
e pò con d'ö cüśgianì de chèl'ègua lé 'l guarìs	e poi con un cucchiaino di quell'acqua guarirà
ma còma harài a saìl endo ca l'è?	ma come faranno a sapere dov'è?
e gliùra lé l'à scultàt bé	allora lei ha ascoltato per bene
pò 'l dé dopo	e il giorno dopo
quando è 'ndàc	quando sono andate
l'à hàc so la sò alìs	ha fatto la valigia
l'è 'ndacia śgió, l'à tiràt sö la pìantelina	è scesa in giardino, ha strappato la pianticella
la gh'à teàt gió i raìs	ha tagliato le radici
la śgi à la-àc bé	le ha lavate bene
pò la gi à hàc bói	le ha fatte bollire
pò l'à hàc sö öna 'mbèla butiglia d'acqua	e poi ha messo quell'acqua in una bella bottiglia
e pò l'è 'ndacia	è andata
l'è scapada cóla sò alìs	è scappata con la sua valigia
e la sò acqua	e l'acqua
pò la 'à śgió 'n de 'sta cità	scende in città
pò lé la ülìa parla col tùs dol rè, co' 'sto prìncipe	voleva parlare col figlio del re, col principe
gliùra la 'à so	allora va là
la bàt	bussa
al vé	viene
öna servènta, la gh'à dìc	una serva, le chiede
còsa la ülìa	cosa volesse
— gh'ó d'biśògn da parlà col prìncipe	 — devo parlare col principe
— 'ta ma s'pöl mìa	— ma non si può!
s'pöl mìa!
chi sét pò tè?	chi sei tu?
— a só öna tuśa ca 'ó d'biśogn da parlà con lö	— sono una ragazza che ha bisogno di parlare con lui
— ma và, và!	 — ma va!
— ma mè 'ó d'biśògn, 'ó d'biśògn! —	— ma io devo parlare! —
e gliùra la 'à sö a diga: — l' gh'è śgió öna tuśa ca la insiste	allora quella va a dire: — c'è una ragazza che insiste
da 'gnì sö a baià con lü —	di voler salire a parlare con lei —
e lo 'l gh'ìa gliò ö fazzülì dal nàs	lui aveva un fazzoletto
ben piegàt:	ben piegato:
— ciàpa	— prendi
daga chèsto	dalle questo
e diga ca la 'l làce fò	dille che pianga
quando la l'avrà maśnàt fò töt	quando l'avrà consumato tutto
la 'gnirà pò amó —	verrà ancora —
e lé l'è 'ndacia śgió, la gh' l'à dàc	lei è scesa gliel'ha dato
— sé sé, só contéta —	— sì, sono contenta —
la l'à piegàt bé, la l'à metìt en goiòfa	l'ha piegato per bene l'ha messo in tasca
de gliò ö quàch dé	dopo qualche giorno
la 'à sö amó	va ancora
— mè 'ó d'biśògn da parlà!	— io devo parlare! —
mè 'ó d'biśògn da parlà! —	
lé 'l và sö amó 'sta sèrva	la serva va di nuovo
a dìghel	a dirglielo
e lo	e lui
al gh'ìa sö ö cortelì	aveva un coltellino
l' gh'à dìc: — ciàpa	ha detto: — prendi
diga 'zzé ca la sa pèste sö a tochelì!	dille che si tagli a pezzettini!
— sé sé —	— sì —
la l'à ciapàt, la l'à metìt amó 'n goiòfa	l'ha preso, l'ha messo ancora in tasca
potà 'l và là amó ö quàch dé	passa qualche giorno
pò lé l'à d'biśògn da parla	poi lei ha bisogno di parlare
l'à d'biśògn da parla
l'è 'ndàc sö amó 'sta sèrva	la serva è andata ancora
a dìghel	a riferire
e lö 'l gh'ìa sö ö tochèl de spàch	lui aveva un pezzo di spago
öna curdina	una cordicella
l' gh'à dìc:	ha detto:
— ciàpa, diga ca la sa 'mpiche!	— prendi, dille che si impicchi!
— sé sé —	— sì —
l'è 'ndacia gió, l'à portàt gió	è scesa, gliel'ha portata
— sé sé —	— sì —
metida 'n goiòfa	l'ha messo in tasca
pò lé	poi
la s'è metida a girà	s'è messa a girare
con de 'sta acqua:	con quell'acqua:
— gh'él di malàc en de 'sta cà?	— ci sono malati in questa casa?
— sé —	— sì —
la 'ndà-a sö, la ga dà-a ö cüśgianì de 'st'acqua, i guarìa	saliva, dava un cucchiaino di acqua, guarivano
pòta 'n d'ön ótra banda
pòta töta la gét	tutta la gente
i curia eh!	accorreva
tüc chi che gh'ìa i malàc	che aveva dei malati
e gliùra ol rè l' dìs	allora il re
l' gh'à dìc ala serva:	dice alla serva:
— 'à śgió	— vai
diga ca la ègne sö	a dirle di venire
fala 'gnì sö a che da nù, ca 'm gh'à che a' nù	falla venire anche da noi, abbiamo
ol nòs' prìncipe malàt —	il nostro principe ammalato —
e lé la 'à a scircà 'sta tuśa, la la tróa	lei va in cerca di quella ragazza, la trova
e la gh'à dìc:	le dice:
— 'l la ciàma l' tus dol rè	— la chiama il figlio del re
da 'gni sö söbet! —	venga subito! —
e lé la gh'à dàc ol fazzülì:	lei le ha dato il fazzolettino:
— diga ca 'l lüce hò 'sto fazzülì	— digli che pianga in questo fazzolettino
che dòpo 'gniró —	poi verrò —
pòta gliò l'à cuminciàt a capì	lui ha cominciato a capire
de gliò dù u trì dé:	dopo due o tre giorni
— ma 'ndé là
l'està màl
— al ga diśìa 'l rè —	il re dice:
a l'està màl	— sta male
cór 'à gió diga ca la ègne sö a' da nù!	corri a dirle che venga anche da noi!
e lé l'è 'ndacia gìó amó 'sta serva	la serva è andata
e lé la gh'à dàc ol temperì:	e lei le ha dato il coltellino:
— diga quando l'è stöf ca l' sa tè-e sö a tochelì! —	— digli che quando è stanco si tagli a pezzettini! —
pòta lo 'l cumincià-a a dì:	lui cominciava a dire:
« madóna l'éra chèla tuśa	« è quella ragazza! »
l'éra chèla tuśa! »
e gliùra 'l rè 'l gh'à dìc:	allora il re le dice:
— ma 'à śgió	— ma vai
préghela	pregala
sùpplica	supplicala
ca la ègne sö	che venga
ca la ègne sö ca l'està màl! —	sta male!
lé l'e 'ndacia gió	lei è andata
a scircala, la l'à troàda	a cercarla, l'ha trovata
perchè lé la 'ndà-a 'm per töt	perché andava dappertutto
a dà ö cüśgianì de 'sto laùr	a dare un cucchiaino di quell'acqua
menemà	così
la gh'à dàc la còrda	le ha dato la corda
la gh'à dìc:	dicendo:
— ma diga ca 'l sa 'mpiche!	— digli che si impicchi!
potànega!
gliùra l'è 'ndàc sò pader	allora è andato il padre
l'è 'ndàc lö a pregala da 'ndà sö	a pregarla di salire
e l'è 'ndacia sö	lei è andata
la gh'à dàc ö cüśgianì de gliò chèl'ègua e l'è guarìt perfetamènte	gli ha dato un cucchiaino di quell'acqua ed è guarito perfettamente
ma prima da daglo la gh'ìa dìc:	ma prima le aveva detto:
— mé ta dó 'l cüśgianì de l'acqua	— io ti dò il cucchiaino di acqua
ta salve e ta guarise	ti salvo e ti guarisco
però me ca to ma spuśet —	però tu dovrai sposarmi —	
e lö 'l gh'ìa dìc:	lui ha risposto:
— sé sé, basta guarì! —	— sì, basta guarire! —
e 'zzé l'è stacia gliò	così è rimasta là
e i s'è spuśàc	si sono sposati
e i à hàc pastì e pastù	e hanno fatto pastino e pastone
