Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
— mè ó streàt chèl óter... —	— io ho stregato l'altro... —
tüc i cüntà-a sö	tutte raccontavano
a gara	a gara
chi ca ìa hàc piö tànt màl	chi avesse fatto più male
lungo l' dé	nella giornata
e lé la scultà-a tòt, la scultà-a töt	e lei ascoltava tutto
menemà  così
l' và là 'm pó de dé	trascorsi un po' di giorni
i gh'ìa portàt	le han portato
di estìc	dei vestiti
di colane	delle collane
di anèi	degli anelli
di oreśgì	degli orecchini
de töt i gh'ìa portàt	di tutto
l'ìa hàc sö öna alìs	aveva fatto una valigia
tota de ròba perfèta	tutta di roba perfetta
menemà 'l rìa a cà chèla piö ègia	a un certo punto arriva a casa la più vecchia
chèla
ca la gh'ìa spödàt gió lé söl có	a lei la ragazza aveva sputato in testa
la rìa e la ga dìs:	dice:
— óh ghe l'ó facia	— l'ho combinata bella!
ghe l'ó facia!
— a chi?	— a chi?
— a ghe l'ó facia al prìncipe!	— al principe!
ma adès èh	adesso
chèl lé 'l guarés piö èh! —	quello non guarisce più —
lé la scultà-a	lei ascoltava
— per guarì chèl lé	— guarirlo
arda èh	guardate
sa l'è pusìbel ca 'l guarise	è proprio impossibile
mè ch'i 'ndaghe gió 'n fónt al nòs' giardì	bisogna andare in fondo al nostro giardino 
mè ch'i tire sö	strappare
chèla piantelina ca l'è già lé	quella pianticella
pò to śgió i raìs, la-ài bé e fai bòi	togliere le radici, lavarle e farle bollire
e pò con d'ö cüśgianì de chèl'ègua lé 'l guarìs	e poi con un cucchiaino di quell'acqua guarirà
ma còma harài a saìl endo ca l'è?	ma come faranno a sapere dov'è?
e gliùra lé l'à scultàt bé	allora lei ha ascoltato per bene
pò 'l dé dopo	e il giorno dopo
quando è 'ndàc	quando sono andate
l'à hàc so la sò alìs	ha fatto la valigia
l'è 'ndacia śgió, l'à tiràt sö la pìantelina	è scesa in giardino, ha strappato la pianticella
la gh'à teàt gió i raìs	ha tagliato le radici
la śgi à la-àc bé	le ha lavate bene
pò la gi à hàc bói	le ha fatte bollire
pò l'à hàc sö öna 'mbèla butiglia d'acqua	e poi ha messo quell'acqua in una bella bottiglia
e pò l'è 'ndacia	è andata
l'è scapada cóla sò alìs	è scappata con la sua valigia
e la sò acqua	e l'acqua
pò la 'à śgió 'n de 'sta cità	scende in città
pò lé la ülìa parla col tùs dol rè, co' 'sto prìncipe	voleva parlare col figlio del re, col principe
gliùra la 'à so	allora va là
la bàt	bussa
al vé	viene
öna servènta, la gh'à dìc	una serva, le chiede
còsa la ülìa	cosa volesse
— gh'ó d'biśògn da parlà col prìncipe	 — devo parlare col principe
— 'ta ma s'pöl mìa	— ma non si può!
s'pöl mìa!
chi sét pò tè?	chi sei tu?
— a só öna tuśa ca 'ó d'biśogn da parlà con lö	— sono una ragazza che ha bisogno di parlare con lui
— ma và, và!	 — ma va!
— ma mè 'ó d'biśògn, 'ó d'biśògn! —	— ma io devo parlare! —
e gliùra la 'à sö a diga: — l' gh'è śgió öna tuśa ca la insiste	allora quella va a dire: — c'è una ragazza che insiste
da 'gnì sö a baià con lü —	di voler salire a parlare con lei —
e lo 'l gh'ìa gliò ö fazzülì dal nàs	lui aveva un fazzoletto
ben piegàt:	ben piegato:
— ciàpa	— prendi
daga chèsto	dalle questo
e diga ca la 'l làce fò	dille che pianga
quando la l'avrà maśnàt fò töt	quando l'avrà consumato tutto
la 'gnirà pò amó —	verrà ancora —
e lé l'è 'ndacia śgió, la gh' l'à dàc	lei è scesa gliel'ha dato
— sé sé, só contéta —	— sì, sono contenta —
la l'à piegàt bé, la l'à metìt en goiòfa	l'ha piegato per bene l'ha messo in tasca
de gliò ö quàch dé	dopo qualche giorno
la 'à sö amó	va ancora
— mè 'ó d'biśògn da parlà!	— io devo parlare! —
mè 'ó d'biśògn da parlà! —	
lé 'l và sö amó 'sta sèrva	la serva va di nuovo
a dìghel	a dirglielo
e lo	e lui
al gh'ìa sö ö cortelì	aveva un coltellino
l' gh'à dìc: — ciàpa	ha detto: — prendi
diga 'zzé ca la sa pèste sö a tochelì!	dille che si tagli a pezzettini!
— sé sé —	— sì —
la l'à ciapàt, la l'à metìt amó 'n goiòfa	l'ha preso, l'ha messo ancora in tasca
potà 'l và là amó ö quàch dé	passa qualche giorno
pò lé l'à d'biśògn da parla	poi lei ha bisogno di parlare
l'à d'biśògn da parla
l'è 'ndàc sö amó 'sta sèrva	la serva è andata ancora
a dìghel	a riferire
e lö 'l gh'ìa sö ö tochèl de spàch	lui aveva un pezzo di spago
öna curdina	una cordicella
l' gh'à dìc:	ha detto:
— ciàpa, diga ca la sa 'mpiche!	— prendi, dille che si impicchi!
— sé sé —	— sì —
l'è 'ndacia gió, l'à portàt gió	è scesa, gliel'ha portata
— sé sé —	— sì —
metida 'n goiòfa	l'ha messo in tasca
pò lé	poi
la s'è metida a girà	s'è messa a girare
con de 'sta acqua:	con quell'acqua:
— gh'él di malàc en de 'sta cà?	— ci sono malati in questa casa?
— sé —	— sì —
la 'ndà-a sö, la ga dà-a ö cüśgianì de 'st'acqua, i guarìa	saliva, dava un cucchiaino di acqua, guarivano
pòta 'n d'ön ótra banda
pòta töta la gét	tutta la gente
i curia eh!	accorreva
tüc chi che gh'ìa i malàc	che aveva dei malati
e gliùra ol rè l' dìs	allora il re
l' gh'à dìc ala serva:	dice alla serva:
— 'à śgió	— vai
diga ca la ègne sö	a dirle di venire
fala 'gnì sö a che da nù, ca 'm gh'à che a' nù	falla venire anche da noi, abbiamo
ol nòs' prìncipe malàt —	il nostro principe ammalato —
e lé la 'à a scircà 'sta tuśa, la la tróa	lei va in cerca di quella ragazza, la trova
e la gh'à dìc:	le dice:
— 'l la ciàma l' tus dol rè	— la chiama il figlio del re
da 'gni sö söbet! —	venga subito! —
e lé la gh'à dàc ol fazzülì:	lei le ha dato il fazzolettino:
— diga ca 'l lüce hò 'sto fazzülì	— digli che pianga in questo fazzolettino
che dòpo 'gniró —	poi verrò —
pòta gliò l'à cuminciàt a capì	lui ha cominciato a capire
de gliò dù u trì dé:	dopo due o tre giorni
— ma 'ndé là
l'està màl
— al ga diśìa 'l rè —	il re dice:
a l'està màl	— sta male
cór 'à gió diga ca la ègne sö a' da nù!	corri a dirle che venga anche da noi!
e lé l'è 'ndacia gìó amó 'sta serva	la serva è andata
e lé la gh'à dàc ol temperì:	e lei le ha dato il coltellino:
— diga quando l'è stöf ca l' sa tè-e sö a tochelì! —	— digli che quando è stanco si tagli a pezzettini! —
pòta lo 'l cumincià-a a dì:	lui cominciava a dire:
« madóna l'éra chèla tuśa	« è quella ragazza! »
l'éra chèla tuśa! »
e gliùra 'l rè 'l gh'à dìc:	allora il re le dice:
— ma 'à śgió	— ma vai
préghela	pregala
sùpplica	supplicala
ca la ègne sö	che venga
ca la ègne sö ca l'està màl! —	sta male!
lé l'e 'ndacia gió	lei è andata
a scircala, la l'à troàda	a cercarla, l'ha trovata
perchè lé la 'ndà-a 'm per töt	perché andava dappertutto
a dà ö cüśgianì de 'sto laùr	a dare un cucchiaino di quell'acqua
menemà	così
la gh'à dàc la còrda	le ha dato la corda
la gh'à dìc:	dicendo:
— ma diga ca 'l sa 'mpiche!	— digli che si impicchi!
potànega!
gliùra l'è 'ndàc sò pader	allora è andato il padre
l'è 'ndàc lö a pregala da 'ndà sö	a pregarla di salire
e l'è 'ndacia sö	lei è andata
la gh'à dàc ö cüśgianì de gliò chèl'ègua e l'è guarìt perfetamènte	gli ha dato un cucchiaino di quell'acqua ed è guarito perfettamente
ma prima da daglo la gh'ìa dìc:	ma prima le aveva detto:
— mé ta dó 'l cüśgianì de l'acqua	— io ti dò il cucchiaino di acqua
ta salve e ta guarise	ti salvo e ti guarisco
però me ca to ma spuśet —	però tu dovrai sposarmi —	
e lö 'l gh'ìa dìc:	lui ha risposto:
— sé sé, basta guarì! —	— sì, basta guarire! —
e 'zzé l'è stacia gliò	così è rimasta là
e i s'è spuśàc	si sono sposati
e i à hàc pastì e pastù	e hanno fatto pastino e pastone
Ål gh'éra üna óltå üna màmå	C'era una volta una mamma
che la ghìå ö tuśì	che aveva un bambino
l'éra éduvå	era vedova
e i éra pu-arì	ed erano poveri
gh'érå apénå üna àcå	avevano solo una mucca
ma lü 'l vuléå mài haìn de purtala el pàscol	ma il figlio non voleva mai portarla al pascolo
e 'stå màmå l'éra despiràdå	la mamma era disperata
l'à dìt:	ha detto:
— adès se té te ö mìå purtàlå de fò e mangià — la dìs —	— se non vuoi portarla a mangiare
'm sé custrèc a èndelå perché	adesso siamo costretti a venderla perché
mé pöde mìå —	io non ce la faccio —
l'à dìt:	poi ha aggiunto:
— tö hö 'stå àcå	— prendi la mucca
e pò pórtelå al mercàt	e portala al mercato
ma àrdå de ciapà pü tànt che te pö perchè	ma cerca di guadagnare più che puoi perché
dopo 'm gh'à pò piö gna' àcå	poi non abbiamo più né mucca
gna' piö ni-ént	né altro
lü 'l töi hö 'stå àcå	il figlio prende la mucca
'l la liga a üna córdå pò 'l và	la lega a una corda e poi va
'nvéce de 'ndà dré ala vià	ma invece di seguire la strada
l'è 'ndàt fò dré ü sintér	s'è avviato per un sentiero
ed la campagna	della campagna
menemà 'l rìå ün òm	ad un tratto incontra un uomo
e 'l gh'ìå ü hachèl de faśöi söli spale	con un sacchetto di fagioli sulle spalle
e lü 'sto Giacumì	e lui, che si chiamava Giacomino
che 'l nìa mìa òiå de 'ndà al mercàt	e non aveva voglia di andare al mercato
ål fà: — må che bèi faśöi	gli dice: — ma che bei fagioli! —
che bèi! —	che belli! —
e lü 'sto òm	quell'uomo
l'à capìt sübit che l'érå 'n pó bambo	ha capito subito che era un allocco
'l gh'à dìt: — che bèlå àcå!	e risponde: — che bella mucca!
— ada he te me dé i faśöi	— se tu mi dal i fagioli
mé ta dó la àcå —	io ti dò la mucca —
defate i à fàt ol cambe	così hanno fatto lo scambio
'sto Giacumì 'l và e cà tüt contét	Giacomino va a casa tutto contento
'l fà-å cünt de ì fàt bèl	pensando di aver fatto un affare
e là màmå a èdel con d'ü hachilì	e la mamma vedendolo con un sacchetto
la fà-å cünt che 'l füdéh ü sachèl de hólc	credeva fosse pieno di soldi
e la fà: — agliùrå	e gli dice: — allora
él endàt bé 'l mercàt?	è andata bene al mercato?
t'é pò fàt prèst...	hai fatto presto...
— hé àrdå — l'à dìt —	— guarda — ha risposto —
ó 'ncuntràt ün òm	ho incontrato un uomo
che gh'ìå ü sàch de faśöi	con un sacchetto di fagioli
e ó fàt cambe —	e ho fatto uno scambio —
l'éra fò di gàngher:	la mamma non ne poteva più:
— stüpidèl d'ü laùr!	— stupido che non sei altro!
adèh am vurà pò fà chè?	adesso cosa faremo?
'm gh'à piö gna' la àcå	non abbiamo né mucca
pò 'm gh'à gna' i sólc	né soldi —
a domande mé! —	mi domando io! —
l'à ciapàt 'esto hachèl de faśöi	ha preso il sacchetto di fagioli
la l'à bütat fò 'n dol órt	l'ha buttato nell'orto
fò dol balcù	e dal balcone
— e pò adès te 'ndaré 'n dol lèt sènså hénå	— adesso andrai a letto senza cena
e adèh merà che ha mète a laurà perché	e io dovrò mettermi a lavorare perché
jà che te m'é fàt a' chèstå	ora che mi hai combinato anche questa
gh'ó pròpe piö ni-ént de dàt de mangià	non ho più niente da darti da mangiare
e Giacumì la matina 'l lèa hö	Giacomino al mattino si alza
prèst	presto
e pòtå 'l gh'ìa fàm perché	aveva fame perché
'ndàt en dol lèt sènså hénå	aveva appunto saltato la cena
pòtå 'l vèt che gliò denàh el balcù d'la cuśìnå	e vede davanti al balcone della cucina
ål gh'è pié de piànte de faśöi	tante piante di fagioli
i érå jamò	erano già cresciuti
crehìc e 'ndàc en sö 'sti faśöi	alte a dismisura
e gliùra 'l s'è rampegàt sö	allora lui ci si è arrampicato
l'è ri-àt sö 'n sìmå	arrivato in cima
e 'l vèt ü bèl càp	vede un gran bel campo
grànt	grande
e gliò 'l se mèt dré e śgirà 'sto càp e 'l vèt üna cà	e si mette a girarlo, vede una casa
e 'l và fò	si avvicina
e 'l gh'è lé üna fómnå che la 'ngóśgiå	c'è una donna che sferruzza
e lü 'l ghe dìs:	e le domanda:
— ma bùnå fómnå	— buona donna
gh'aréhef ni-ént de dàm de mangià	non avreste qualcosa da darmi da mangiare
che hó ché che hó dré e möre de fàm? —	che sto morendo di fame? —
e lé la gh'à dìt esè:	lei ha risposto:
— ma éå pu-arì a' té! — l'à dìt —	— oh povero te!
ål sét pò mìå de chi che l'è 'stå cà ché?	non sai di chi è questa casa?
l'è la cà dol órco èh	è la casa dell'orco
he 'l te èt ål te màngiå!	se ti vede ti mangia!
— ma éå — l'à dìt — ma mé hó famàt! — l'à dìt essè:	— ma io sono affamato! —
— mé hó la hò hurèlå e hére pròpe ché a spetà che 'l 'gnìh e cà e diśnà	quella ha aggiunto: — io sono la sorella e sto proprio aspettando che venga a casa a mangiare
però — la dìs — se te fé prèst e mangià	però se fai presto
ergóta te dó	dò qualcosa anche a te
la l'à fàt endà de déter	lo ha fatto entrare
e la gh'à dàt sà ü	e gli ha portato
piàt de riśòt	un piatto di risotto
pòta l'ìa gna' finìt che l'è hà l'órco	non aveva ancora finito, arriva l'orco
— ma éå mé — l'à dìt — adèh em fai pò chè?	— adesso cosa facciamo?
he 'l te èt ål te màngiå	se ti vede ti mangia!
hà hà ché! — l'à dìt — le la l'à scundìt gió 'n d'ùnà pignàtå	vieni qui! — l'ha nascosto in una pignatta
e la gh'à metìt so 'l cu-èrcol	e ha messo sopra il coperchio
e 'l vé l'órco	arriva l'orco
ål fà: — a hète udùr de carne de cris-cià	grida: — sento odore di carne di cristiano
he la ciàpe la öi mangià! —	se la prendo me la mangio! —
e 'l se mèt dré a fà pahà	s'è messo a cercare
e la hò hurèlå l'à fàt prèst e purtàgà lé de mangià söl tàol	la sorella gli ha portato subito in tavola il pranzo
per la pùrå che 'l ciapés 'esto tuśì	per paura che prendesse il bambino
l'ìa fàt so 'l riśòt	aveva cucinato il risotto
gliò l'à mangiai fò tüt	l'orco l'ha mangiato tutto
e pò 'l gh'à dìt: — adès	poi le ha detto: — adesso
cumincia a 'gnìm a' hògn	mi sta venendo sonno
ma prìmå pórtem ché i hólc	ma prima portami i soldi
che öi cüntài	che voglio contarli
e lü 'sto Giacumì l'à dervìt sö 'm pó 'l cu-ércol	Giacomino ha sollevato un po' il coperchio
ed la pignàtå	della pignatta
perchè 'l vuléå pò ède	perché voleva vedere
pòtå	pota
al vèt che la rìå 'stå fómnå	arriva la donna
con dù o tré hachilì de hólc	con due o tre sacchetti di soldi
ghe i pósta hö hùrå 'l tàol	li mette sul tavolo
e lü 'l gi à üdàt fò tüc sö hùrå	e l'orco li ha versati tutti
e gliò 'l s'è metìt dré e cùntài	poi s'è messo a contarli
e pò l'à turnàt amò e divìdei pò hö	e quindi li ha divisi ancora
e lü 'l fà:	Giacomino dice tra sé:
« madónå — 'l dìs —	« madonna!
se 'l s'és de durmentà almeno	se si addormentasse
püdirès purtàgå jà quàch sólc! »	potrei rubargli qualche soldo! »
menemà 'l sét ca 'l rùncå	d'un tratto lo sente russare
s'vèt che 'l se séå durmentàt	si era addormentato
a fórså de cüntà i hólc	si vede che a forza di contare i soldi
gliùrå 'l vé hö d'la pignàtå	allora esce dalla pignatta
'l töi hö i hò hólc	prende i soldi
e pò 'l ghe l' sùnå	e scappa via
l'è 'ndàt e cà	va a casa
cume l'èra 'gnìt sö l'è 'ndàt gió	com'era salito, è disceso
e 'l ciàmå la hò màmå:	chiama la mamma:
— màmå màmå! — l'à dit —	— mamma, mamma!
adèh em sé s-ciòre!	adesso siamo ricchi!
— hét pò 'ndàt 'du-è?	— dove sei andato?
te me n'aré mìå fàt ünà de cumpàgnå de 'ndà e rubà!	non ti sarai messo a rubare!
adèh ål 'gnirà i carabignér	adesso verranno i carabinieri
t'edaré!	vedrai!
— nò nò — l'à dit —	— no
ada che i vé mìa i carabignér	non vengono i carabinieri
te l' cünteró pò ho ün óter dé còma l'è stàdå ma	ti racconterò un altro giorno com'è andata ma
té ìgå mìå pùrå	tu non avere paura
al pàhå dù o tré dé pò 'sto tùh	dopo due o tre giorni al ragazzo
ål ghe 'é 'n mént amò	viene in mente
de 'ndà e tru-à l'órco	di andare a trovare ancora l'orco
al pàhå hö	si arrampica
e 'l và fò amò	va alla casa
'l gh'è amò 'stå fómnå l'éra mì-ope	e trova di nuovo quella donna ma lei era miope
l'à mìå cugnuhìt che l'éra amò chèl	non l'ha riconosciuto per quello
de dù o tré dé prìmå	di due o tre giorni prima
e 'l ga dìs esè:	Giacomino le dice:
— carità	— carità
bùnå fómnå!	buona donna!
hó dré e möre de fàm!	sto morendo di fame!
— ma éå — l'à dit —	— ma lei — ha detto —
pöde mìå mé fàt 'gnì de déter	— io non posso farti entrare
ché l'è la cà dol órco	questa è la casa dell'orco
e pò l'óter dé l'è pahàt ü tuśì	e poi l'altro giorno è passato un bambino
e mé gh'ó dàt de mangià	io gli ho dato da mangiare
e lü l'à purtàt già tüc i hólc e l'órco —	e lui ha rubato tutti i soldi all'orco
e lü 'l gh'à dìt esè:	e lui le ha detto così:
— ah ma mé farò mìå 'ssè — l'à dìt —	— ma io non farò così
faró mìå 'ssè mé!	io non farò così!
gliùrå la l'à fàt endà de déter	allora l'ha fatto entrare
e la gh'à dàt sà 'm pó de mangià	gli ha dato qualcosa da mangiare
menemà 'l vé hà amò l'órco	ma ad un tratto arriva l'orco
e gliùrå la l'à scundìt tré 'l furen	così l'ha nascosto nel forno
e lü 'l dìs: — ma mé	l'orco dice:
héte amò l'udùr che ó hintìt chèl dé	— sento ancora l'odore di quel giorno
che i m'à purtàt già i hólc...	quando mi hanno rubato i soldi...
chilo 'l gh'è argü —	qui c'è qualcuno —
e 'l se mèt dré fa haltà	butta all'aria
de ché	di qua
e de lé	e di là
lé 'stå fómnå l'éra 'gnìdå 'n fastöde	la donna non sapeva più cosa fare
l'à dìt: « te ederé che 'sta óltå	« vedrai che stavolta
'l la ciàpå dol daérå »	lo prende davvero »
e gliùrå la gh'à purtàt lé	allora gli ha portato
di agnèi che éra pò a' bèi tènder de mangià	degli agnelli molto teneri
e gliùrå 'l s'è hentàt gió, l'à mangiàt	così l'orco s'è seduto a mangiare
dòpo 'l ghe dìs:	poi dice:
— adès te me pórtet ché	— adesso portami
la galìnà che fà i öf d'ór —	la gallina che fa le uova d'oro —
gliùrå lü 'sto Giacumì de déter l'à dìt:	Giovannino tra sé ha pensato:
« adès fói po' cumè e spi-à fò?	« ora come faccio a spiare?
bisógnå che darvihe	devo aprire
l'üs-cetì	lo sportellino
l'è mèi che spète quàn' che l'è lé	ma è meglio che aspetti quando è
bén atènto e faga fà i öf ela galìnå »	tutto intento a far fare le uova alla gallina »
difati l'à fàt essè	così ha fatto
la horèlå la gh'à purtàt lé la galìnå	la sorella ha portato all'orco la gallina
'l l'à metìdå hùrå 'l tàol	l'ha messa sul tavolo
e lü 'l ghe diséå:	e l'orco ha gridato:
— fòrså! —	— forza! —
e lé la fà-å l'öf d'ór	e lei ha fatto un uovo d'oro
— fòrså! —	— forza! —
'n na fà-å ün óter	e ne ha fatto un altro
« òrpo — 'l dìs —	« orpo — dice —
chèstå ché la ghe urès pròpe a' per mé! »	questa ci vorrebbe anche per me! »
e gliò	e lì
dòpo quàn' l'à hintìt che	quando ha sentito
l'órco 'l runcà-å	l'orco russare
l'e 'gnìt fò	è uscito dal forno
l'à töt sö la hò galìnå	ha preso la gallina
e i hò öf	le uova
e vìo!	e via!
l'è füsgìt amò	è scappato ancora
a purtà i öf ala hò màmå	a portare le uova alla mamma
— ma dìl pò e nigü	— non dirlo a nessuno
che la gh'è	che c'è
ada ca la fà i öf d'ór!	guarda che fa le uova d'oro!
adèh e 'ndó e énden giü	adesso vado a venderne uno
pórte de mangià	porterò da mangiare
ma tégnelå scundìdå	tienila ben nascosta
